filter_name,filter_family,description,targeted_to_outcome,sensors_retained,sensors_removed,removed_sensor_ids,daily_missing_mean_pct,daily_missing_median_pct,daily_missing_p90_pct,days_missing_ge_25pct,longest_missing_ge_25pct_episode_days,daily_valid_sensor_min,daily_valid_sensor_median,missing_mean_improvement_pct_points,reference_mean_bias_ugm3,reference_mean_mae_ugm3,reference_mean_p95_abs_diff_ugm3,reference_mean_max_abs_diff_ugm3,reference_mean_pearson_r,daily_mean_pm25_spearman_rho,temporal_spearman_rho,spatial_cv_spearman_rho,spatial_sd_spearman_rho,sensor_missing_morans_i,temporal_abs_reduction,spatial_cv_abs_reduction,spatial_sd_abs_reduction,pm_abs_reduction,joint_temporal_spatial_cv_reduction,partial_pm_coef_pct_per_1sd,partial_spatial_cv_coef_pct_per_1sd,partial_time_coef_pct_per_1sd,partial_model_r_squared
remove_sensor_temporal_rho_k15,remove_sensor_temporal_rho,Remove top 15 sensors ranked by sensor_temporal_rho.,True,56,15,81432131001;81432131007;81432130004;81432130008;81432147054;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144021;81432144027,23.072407045009783,24.10714285714286,31.517857142857146,159,29,39,47.0,5.268804608472753,0.5150053222855342,0.5932417521480633,1.9125263699810775,5.635012438188284,0.9999440086248712,-0.5395236650463047,-0.3627609269692165,-0.0006725956925072651,-0.4979218138098239,0.054018293015726714,0.059908467507067686,0.29753418211780114,-0.3440398675878373,-0.47776697347709435,0.3574426496248688,-3.9324895496816814,0.6880970018636455,-1.1518514745875588,0.389773820112871
remove_worst_daily_missing_k30,remove_worst_daily_missing,Remove top 30 sensors ranked by daily_missing.,False,41,30,81432131001;81432131007;81432131015;81432131012;81432131011;81432131014;81432131002;81432147001;81432147034;81432147038;81432147039;81432147041;81432147044;81432147045;81432147054;81432147055;81432147053;81432147056;81432147060;81432147064;81432147069;81432144006;81432144007;81432144008;81432144014;81432144016;81432144021;81432144024;81432144027;81432144031,14.581523554961581,14.126016260162599,21.84959349593495,7,3,31,37.0,13.759688098520959,-1.1354182695825774,1.509339369665705,5.6168178569871134,13.305182448707171,0.9993970824395452,-0.4744465041491626,-0.37613326474577746,-0.0015527461731529356,-0.4282756263041824,0.040757835778211925,0.04653612973050675,0.2966540316371555,-0.2743936800821958,-0.4126898125799523,0.3431901613676622,-2.634849402207666,0.8381155353836494,-1.0367149210561173,0.30440610938831747
remove_longest_gap_k35,remove_longest_gap,Remove top 35 sensors ranked by longest_gap.,False,36,35,81432131001;81432130005;81432131007;81432131015;81432131012;81432130004;81432131011;81432131014;81432131002;81432147001;81432147034;81432147038;81432147039;81432147041;81432147044;81432147055;81432147053;81432147056;81432147060;81432147061;81432147065;81432147069;81432147076;81432144006;81432144007;81432144008;81432144014;81432144016;81432144019;81432144021;81432144023;81432144024;81432144026;81432144027;81432144031,14.370243531202439,13.77314814814814,21.481481481481488,8,1,28,33.0,13.970968122280098,-1.0271663932908701,1.5526592736136393,5.208419382696394,11.928345716399917,0.9991431476544385,-0.1970690107404017,-0.15701017057335556,0.0016890973757791308,-0.17885812503661655,-0.03683175295370019,0.2656592239029286,0.29651768043452925,-0.024976178814629907,-0.13531231917119138,0.5621769043374578,-1.0044178501076126,0.5292096645897534,-0.48835029356439114,0.060127468673139894
record_ge_50pct_gap_le_90d,record_presence_plus_gap,Keep sensors with record presence >= 50% and gap <= 90 days.,False,55,16,81432131001;81432131007;81432131012;81432147034;81432147039;81432147055;81432147053;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144031,19.98401826484018,20.378787878787875,27.13636363636364,75,29,36,47.0,8.357193388642354,-0.3094998337494959,0.5729650938026991,2.014296965229966,6.673581945978867,0.9998805300575548,-0.258954071205371,0.050028540003821516,0.0020240821853701255,-0.20763586362038094,0.01032053483860818,0.3726408544724627,0.29618269562493826,-0.0537539173983943,-0.19719737963616069,0.6688235500974009,-3.854663122551498,0.29919796310668123,2.1160201210657466,0.25235031475175884
daily_ge_75pct_gap_le_90d,daily_presence_plus_gap,Keep sensors with daily presence >= 75% and gap <= 90 days.,False,42,29,81432131001;81432131007;81432131015;81432131012;81432131011;81432131014;81432131002;81432147001;81432147034;81432147039;81432147041;81432147044;81432147045;81432147054;81432147055;81432147053;81432147056;81432147060;81432147064;81432147069;81432144006;81432144007;81432144008;81432144014;81432144016;81432144021;81432144024;81432144027;81432144031,15.190802348336593,15.07936507936508,22.123015873015873,8,2,32,38.0,13.15040930514594,-1.101393191970329,1.471394513450588,5.609312885761004,14.484781473060906,0.9994172777323741,-0.425923006859819,-0.33615290323652386,0.002808978886072482,-0.38065902361135495,0.033902446661225466,0.08651649123976035,0.29539779892423595,-0.2267770773893683,-0.36416631529060867,0.3819142901639963,-2.4571812746579353,0.7388578172878818,-0.8256667521318348,0.2708710152204121
daily_ge_75pct_gap_le_120d,daily_presence_plus_gap,Keep sensors with daily presence >= 75% and gap <= 120 days.,False,42,29,81432131001;81432131007;81432131015;81432131012;81432131011;81432131014;81432131002;81432147001;81432147034;81432147039;81432147041;81432147044;81432147045;81432147054;81432147055;81432147053;81432147056;81432147060;81432147064;81432147069;81432144006;81432144007;81432144008;81432144014;81432144016;81432144021;81432144024;81432144027;81432144031,15.190802348336593,15.07936507936508,22.123015873015873,8,2,32,38.0,13.15040930514594,-1.101393191970329,1.471394513450588,5.609312885761004,14.484781473060906,0.9994172777323741,-0.425923006859819,-0.33615290323652386,0.002808978886072482,-0.38065902361135495,0.033902446661225466,0.08651649123976035,0.29539779892423595,-0.2267770773893683,-0.36416631529060867,0.3819142901639963,-2.4571812746579353,0.7388578172878818,-0.8256667521318348,0.2708710152204121
daily_presence_ge_75pct,daily_presence_threshold,Keep sensors with daily presence >= 75%.,False,42,29,81432131001;81432131007;81432131015;81432131012;81432131011;81432131014;81432131002;81432147001;81432147034;81432147039;81432147041;81432147044;81432147045;81432147054;81432147055;81432147053;81432147056;81432147060;81432147064;81432147069;81432144006;81432144007;81432144008;81432144014;81432144016;81432144021;81432144024;81432144027;81432144031,15.190802348336593,15.07936507936508,22.123015873015873,8,2,32,38.0,13.15040930514594,-1.101393191970329,1.471394513450588,5.609312885761004,14.484781473060906,0.9994172777323741,-0.425923006859819,-0.33615290323652386,0.002808978886072482,-0.38065902361135495,0.033902446661225466,0.08651649123976035,0.29539779892423595,-0.2267770773893683,-0.36416631529060867,0.3819142901639963,-2.4571812746579353,0.7388578172878818,-0.8256667521318348,0.2708710152204121
remove_late_period_missing_k15,remove_late_period_missing,Remove top 15 sensors ranked by late_period_missing.,True,56,15,81432131001;81432131007;81432131015;81432147001;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144021;81432144024;81432144027,22.210534898891062,24.181547619047628,30.104166666666664,158,27,39,47.0,6.130676754591473,-0.16911309358907292,0.3642689263246008,1.4101951465876403,7.649488653244248,0.9999279334345698,-0.4577533000566587,-0.2931369548997875,-0.005789186641434114,-0.41950293790813037,0.09883967784692549,0.12953243957649668,0.2924175911688743,-0.2656209916861437,-0.3959966084874484,0.42195003074537096,-3.456354657526988,0.7318608511826474,-0.9706446290159151,0.3171208902818605
record_presence_ge_75pct,record_presence_threshold,Keep sensors with hourly-record presence >= 75%.,False,34,37,81432131001;81432131007;81432131015;81432131012;81432131011;81432131014;81432131009;81432131002;81432147001;81432147034;81432147037;81432147038;81432147039;81432147041;81432147044;81432147045;81432147054;81432147055;81432147053;81432147056;81432147060;81432147061;81432147064;81432147065;81432147068;81432147069;81432147070;81432144006;81432144007;81432144008;81432144014;81432144015;81432144016;81432144021;81432144024;81432144027;81432144031,11.131479989255977,11.642156862745113,17.401960784313726,1,1,28,31.0,17.20973166422656,-2.5843601261701523,2.809782137800932,12.149439667439891,31.47230377097921,0.9980102995802745,-0.4999848538565756,-0.3321735648995026,0.008880788984792965,-0.45308718565606726,0.014136349022967266,0.0904958295767816,0.28932598882551547,-0.2992052394340806,-0.4382281622873653,0.37982181840229706,-2.271898184069489,1.1697473637490197,-1.2508629154063924,0.33413027421604713
record_ge_75pct_gap_le_120d,record_presence_plus_gap,Keep sensors with record presence >= 75% and gap <= 120 days.,False,34,37,81432131001;81432131007;81432131015;81432131012;81432131011;81432131014;81432131009;81432131002;81432147001;81432147034;81432147037;81432147038;81432147039;81432147041;81432147044;81432147045;81432147054;81432147055;81432147053;81432147056;81432147060;81432147061;81432147064;81432147065;81432147068;81432147069;81432147070;81432144006;81432144007;81432144008;81432144014;81432144015;81432144016;81432144021;81432144024;81432144027;81432144031,11.131479989255977,11.642156862745113,17.401960784313726,1,1,28,31.0,17.20973166422656,-2.5843601261701523,2.809782137800932,12.149439667439891,31.47230377097921,0.9980102995802745,-0.4999848538565756,-0.3321735648995026,0.008880788984792965,-0.45308718565606726,0.014136349022967266,0.0904958295767816,0.28932598882551547,-0.2992052394340806,-0.4382281622873653,0.37982181840229706,-2.271898184069489,1.1697473637490197,-1.2508629154063924,0.33413027421604713
record_ge_75pct_gap_le_90d,record_presence_plus_gap,Keep sensors with record presence >= 75% and gap <= 90 days.,False,34,37,81432131001;81432131007;81432131015;81432131012;81432131011;81432131014;81432131009;81432131002;81432147001;81432147034;81432147037;81432147038;81432147039;81432147041;81432147044;81432147045;81432147054;81432147055;81432147053;81432147056;81432147060;81432147061;81432147064;81432147065;81432147068;81432147069;81432147070;81432144006;81432144007;81432144008;81432144014;81432144015;81432144016;81432144021;81432144024;81432144027;81432144031,11.131479989255977,11.642156862745113,17.401960784313726,1,1,28,31.0,17.20973166422656,-2.5843601261701523,2.809782137800932,12.149439667439891,31.47230377097921,0.9980102995802745,-0.4999848538565756,-0.3321735648995026,0.008880788984792965,-0.45308718565606726,0.014136349022967266,0.0904958295767816,0.28932598882551547,-0.2992052394340806,-0.4382281622873653,0.37982181840229706,-2.271898184069489,1.1697473637490197,-1.2508629154063924,0.33413027421604713
remove_longest_gap_k40,remove_longest_gap,Remove top 40 sensors ranked by longest_gap.,False,31,40,81432131001;81432130005;81432131007;81432131015;81432131012;81432130004;81432131011;81432131014;81432130008;81432131002;81432147001;81432147023;81432147034;81432147037;81432147038;81432147039;81432147041;81432147044;81432147045;81432147055;81432147053;81432147056;81432147060;81432147061;81432147065;81432147069;81432147076;81432144006;81432144007;81432144008;81432144014;81432144015;81432144016;81432144019;81432144021;81432144023;81432144024;81432144026;81432144027;81432144031,12.83657386949477,12.634408602150549,18.14516129032258,2,1,24,29.0,15.504637783987762,-3.0377011247181263,3.128137004774411,10.402521690380377,33.647944339505614,0.9979954125659727,-0.30895559220557833,-0.1331734752829964,0.012157045827826797,-0.27846006894147596,-0.06923987536931965,0.2894959191932878,0.2860497319824816,-0.12457812271948931,-0.247198900636368,0.5755456511757695,-1.215365494043552,0.5665712111900497,-0.2552710475633152,0.10366076588280304
remove_high_spatial_cv_missing_k15,remove_high_spatial_cv_missing,Remove top 15 sensors ranked by high_spatial_cv_missing.,True,56,15,81432131001;81432131007;81432147034;81432147039;81432147054;81432147055;81432147053;81432147056;81432147060;81432144007;81432144008;81432144014;81432144016;81432144024;81432144027,19.863013698630137,20.833333333333336,26.800595238095248,68,29,38,47.0,8.478197954852403,-0.4007365632914339,0.6840640386225968,2.7470710250353365,5.614429337768627,0.99983110705802,-0.3787575408748681,-0.07104345968359477,0.012891978259677278,-0.32042788506103687,0.03562766645753383,0.35162593479268944,0.2853147995506311,-0.16654593883905022,-0.3170008493056578,0.6369407343433205,-3.6402467213127934,0.39895538603523956,1.2851280068563398,0.2527734321364763
daily_presence_ge_80pct,daily_presence_threshold,Keep sensors with daily presence >= 80%.,False,39,32,81432131001;81432131007;81432131015;81432131012;81432131011;81432131014;81432131002;81432147001;81432147034;81432147038;81432147039;81432147041;81432147044;81432147045;81432147054;81432147055;81432147053;81432147056;81432147060;81432147064;81432147068;81432147069;81432147070;81432144006;81432144007;81432144008;81432144014;81432144016;81432144021;81432144024;81432144027;81432144031,13.835909144128323,13.888888888888907,21.153846153846157,7,3,30,36.0,14.505302509354209,-1.3907010596929876,1.7590659170441447,7.213774359051099,18.4717648740521,0.9992200270139349,-0.49667687952911554,-0.38711394141839034,-0.015422694625179102,-0.45147896094935297,-0.03622109569878594,0.03555545305789387,0.2827840831851293,-0.2975970147273663,-0.4349201879599052,0.3183395362430232,-2.7296757742712625,0.7140381204231773,-1.057020940599555,0.3103906719945053
record_ge_50pct_gap_le_60d,record_presence_plus_gap,Keep sensors with record presence >= 50% and gap <= 60 days.,False,50,21,81432131001;81432131007;81432131012;81432147001;81432147034;81432147039;81432147041;81432147044;81432147055;81432147053;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144019;81432144024;81432144027;81432144031,18.75251141552511,18.25,27.566666666666677,57,28,33,44.0,9.588700237957424,-1.0945984737571106,1.196387577721795,3.8753284388360845,10.01821267749537,0.9997634912339918,-0.31501504859050006,0.03137264918332761,0.01738434947096452,-0.2616612967586132,0.023739883970584224,0.3912967452929566,0.2808224283393439,-0.10777935053662657,-0.25325835702128974,0.6721191736323004,-3.736011699653031,0.2811247645645537,2.2647993812009815,0.24601315067245
